VegCover;Locality;Site;Abundance;Species;Longitude;Biomass;Large;Medium;Small;Dweller;Roller;Tunneler;MediumDweller;SmallDweller;MediumRoller;LargeTunn;MediumTunn;SmallTunn
Secondary forest;Las Vegas;1;8;2.33;12.52708333;1.773;0.33;4;3.67;3;0;5;3;0;0;0.33;1;3.67
Secondary forest;Las Vegas;2;24;3.67;11.49791667;6.632;4;6.67;13.33;5.33;0;18.67;5.33;0;0;4;1.33;13.33
Secondary forest;Las Vegas;3;7;1.67;14.85285714;4.164;3.67;1;2.33;0.67;0;6.33;2.67;0;0;3.67;0.33;2.33
Secondary forest;Las Vegas;4;14;2.33;14.51642857;8.536;7.67;2;4.33;1;0.67;12.33;1;0;0.67;7.67;0.33;4.33
Secondary forest;Las Palmas;1;9.67;2.33;12.39206897;1.44;0;5.33;4.33;5;0;4.67;5;0;0;0;0.33;4.33
Secondary forest;Las Palmas;2;10.67;3.33;10.7125;1.747;0.67;4;6;4.33;0.33;6;3.67;0.67;0.33;0.67;0;5.33
Secondary forest;Las Palmas;3;8;2.33;12.74166667;1.237;0;5;3;5;0.33;2.67;4.67;0.33;0.33;0;0;2.67
Secondary forest;Las Palmas;4;11;1.67;14.57;2.124;0;8.33;2.67;8.67;0;2.33;8.33;0.33;0;0;0;2.33
Secondary forest;Santa Elena;1;24;3;12.5875;11.65;9.67;2;12.33;1;0;23;0.67;0.33;0;9.67;1.33;12
Secondary forest;Santa Elena;2;21;2.67;16.03603175;14.362;9.67;7.67;3.67;1.67;0.67;18.67;1.67;0;0.67;9.67;5.33;3.67
Secondary forest;Santa Elena;3;15.33;3.33;13.86652174;8.333;6;3.33;6;1;0;14.33;0.67;0.33;0;6;2.67;5.67
Secondary forest;Santa Elena;4;26;3;10.18320513;7.782;6.33;1;18.67;1;0;25;0.33;0.67;0;6.33;0.67;18
Secondary forest;Santa Rita;1;4;1.67;16.03083333;1.905;1.33;2;0.67;1.67;0;2.33;1.67;0;0;1.33;0.33;0.67
Secondary forest;Santa Rita;2;4;1.33;16.69666667;2.709;2.33;1;0.67;1;0;3;1;0;0;2.33;0;0.67
Secondary forest;Santa Rita;3;7.67;2;16.70608696;5.874;5.33;1;1.33;0.33;0;7.33;0.33;0;0;5.33;0.67;1.33
Secondary forest;Santa Rita;4;11.33;2;16.31323529;8.115;7.33;2;2;1.67;0;9.67;1.67;0;0;7.33;0.33;2
Pasture;Las Vegas;1;5;1.33;16.90266667;2.546;0.67;4.33;0;0.67;0;4.33;0.67;0;0;0.67;3.67;0
Pasture;Las Vegas;2;2.33;0.67;18.59;1.457;1;1.33;0;0;0;2.33;0;0;0;1;1.33;0
Pasture;Las Vegas;3;2.67;0.67;16.745;1.247;0;2.67;0;0.33;0;2.33;0.33;0;0;0;2.33;0
Pasture;Las Vegas;4;1.67;1;12.226;0.551;0;1;0.67;0;0;1.67;0;0;0;0;1;0.67
Pasture;Las Palmas;1;2.33;0.33;16.58;1.232;0;2.33;0;0;0;2.33;0;0;0;0;2.33;0
Pasture;Las Palmas;2;0.33;0.33;16.58;0.176;0;0.33;0;0;0;0.33;0;0;0;0;0.33;0
Pasture;Las Palmas;3;1.33;0.67;13.91;0.542;0;1;0.33;0;0;1.33;0;0;0;0;1;0.33
Pasture;Las Palmas;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pasture;Santa Rita;1;3;1.33;14.46333333;1.235;0.33;2;0.67;0.67;0;2.33;0.67;0;0;0.33;1.33;0.67
Pasture;Santa Rita;2;3.67;1.33;16.26090909;1.469;0.33;3;0.33;1.67;0;2;1.67;0;0;0.33;1.33;0.33
Pasture;Santa Rita;3;1.67;0.67;16.724;0.786;0;1.67;0;0.33;0;1.33;0.33;0;0;0;1.33;0
Pasture;Santa Rita;4;4;1.67;15.25916667;1.572;0.33;3;0.67;1.33;0;2.67;1.33;0;0;0.33;1.67;0.67
Pasture;Santa Elena;1;1;0.67;6.506666667;0.041;0;0;1;0;0;1;0;0;0;0;0;1
Pasture;Santa Elena;2;4.67;1.33;10.01285714;0.765;0;2.67;2;1.33;0;3.33;1.33;0;0;0;1.33;2
Pasture;Santa Elena;3;2.67;1;6.59625;0.244;0;0.33;2.33;0;0;2.67;0;0;0;0;0.33;2.33
Pasture;Santa Elena;4;9.67;1;8.05137931;0.678;0;2;7.67;0;0;9.67;0;0;0;0;7.67;2
Cacao agroforestry systems;Las Vegas;1;18;2.67;9.873518519;2.53;0.67;5.33;12;4.67;0;13.33;4.67;0;0;0.67;0.67;12
Cacao agroforestry systems;Las Vegas;2;6.33;2;9.573684211;0.872;0;2.33;4;1.67;0;4.67;1.33;0.33;0;0;1;3.67
Cacao agroforestry systems;Las Vegas;3;9;2.67;10.06555556;1.655;0.67;2.67;5.67;1.67;0;7.33;1.67;0;0;0.67;1;5.67
Cacao agroforestry systems;Las Vegas;4;8;2.33;7.398333333;0.508;0;1;7;0.67;0;7.33;0.67;0;0;0;0.33;7
Cacao agroforestry systems;Las Palmas;1;28;1.33;7.535119048;1.033;0;2.33;25.67;2.33;0;25.67;2;0.33;0;0;0.33;25.33
Cacao agroforestry systems;Las Palmas;2;17;1.67;9.731176471;1.81;0;5.33;11.67;4;0;13;4;0;0;0;1.33;11.67
Cacao agroforestry systems;El Horizonte;3;15;2;8.794444444;1.419;0.33;3;11.67;3;0;12;3;0;0;0.33;0;11.67
Cacao agroforestry systems;El Horizonte;4;7;2;9.401904762;0.632;0;2.67;4.33;2.67;0;4.33;2.67;0;0;0;0;4.33
Cacao agroforestry systems;Santa Elena;1;15;2.33;10.45577778;3.087;1.67;4;9.33;3.67;0;11.33;3.67;0;0;1.67;0.33;9.33
Cacao agroforestry systems;Santa Elena;2;14.33;2.67;9.641162791;3.004;1.67;2.33;10.33;1.33;0;13;1;0.33;0;1.67;1.33;10
Cacao agroforestry systems;Santa Elena;3;26.33;3.33;8.728860759;3.872;2;3.33;21;3;0.33;23;1.67;1.33;0.33;2;1.33;19.67
Cacao agroforestry systems;Santa Elena;4;35;3;8.757714286;6.744;4.33;2.67;28;1.33;0.67;33;1.33;0;0.67;4.33;0.67;28
Cacao agroforestry systems;Santa Rita;1;27.67;3.33;8.359879518;2.175;0.33;4.67;22.67;4.33;0;23.33;4;0.33;0;0.33;0.67;22.33
Cacao agroforestry systems;Santa Rita;2;32;3.33;8.427604167;3.078;1;5.33;25.67;4.67;0;27.33;4.33;0.33;0;1;1;25.33
Cacao agroforestry systems;Santa Rita;3;27.33;2;7.295853659;2.002;1.33;0.33;25.67;0.33;0;27;0.33;0;0;1.33;0;25.67
Cacao agroforestry systems;Santa Rita;4;40.67;3;7.929344262;3.09;1.33;3.67;35.67;2.67;0;38;2.67;0;0;1.33;1;35.67
