Species;Secondary forest;Cacao agroforestry systems;Pasture
Ateuchus sp. 01;86;205;2
Ateuchus sp. 02;10;62;0
Ateuchus sp. 03;10;0;0
Ateuchus sp. 04;0;0;1
Canthidium sp. 01;42;21;2
Canthon aff. cyanellus;6;1;0
Coprophanaeus corythus;0;0;5
Deltochilum gr. plebejum;0;2;0
Dichotomius belus;8;24;60
Dichotomius protectus;193;46;3
Digitonthophagus gazella;0;0;3
Eurysternus caribbaeus;116;96;13
Eurysternus contractus;0;0;1
Eurysternus mexicanus;3;21;5
Eurysternus plebejus;3;5;0
Ontherus kirschii;13;8;1
Onthophagus clypeatus;91;459;25
Onthophagus curvicornis;0;1;0
Onthophagus transisthmius;2;6;17
Phanaeus meleagris;23;1;0
Trichillidium pilosum;5;4;0
Uroxys sp. 01;2;10;0
Uroxys sp. 02;3;8;0
Uroxys sp. 03;1;0;0
